CRN,Subject,Title,Hours,Instructor,Days,Start Time,End Time,Location,Seats Available
10061,HIST 2110 04,US A Comprehensive Survey,3,"Denmark, Lisa",TR,2:00 PM,3:15 PM,T,
14060,HIST 2110 10,Honor US A Comprehensive Surv,3,"Van Wagenen, Michael",TR,12:30 PM,1:45 PM,T,
10037,HIST 5030 01,Podcasting History,3,"Allison, William",MW,12:20 PM,1:35 PM,T,
10045,HIST 7633 01,Readings in European History,3,"Burson, Jeffrey",R,6:00 PM,8:45 PM,T,
10449,HIST 1112 08,Wrld Hist II-Emerg Mod Glb Com,3,"Skidmore-Hess, Cathy",TR,8:00 AM,9:15 AM,T,
10021,HIST 2110 02,US A Comprehensive Survey,3,"Downs, Alan",TR,3:30 PM,4:45 PM,T,
10480,HIST 2110 08,US A Comprehensive Survey,3,"Van Wagenen, Michael",TR,8:00 AM,9:15 AM,T,
10024,HIST 1112 04,Wrld Hist II-Emerg Mod Glb Com,3,"Herringer, Carol",MW,2:30 PM,3:45 PM,T,
10059,HIST 7631 01,Readings in Amer Hist,3,"de Chantal, Julie",W,6:00 PM,8:45 PM,T,
10477,HIST 1111 02,World Hist.I:Dev. of World Civ,3,"Teeter, Timothy",TR,11:00 AM,12:15 PM,T,
10072,HIST 5138 01,The New South,3,"Haberland, Michelle",MW,4:00 PM,5:15 PM,T,
10032,HIST 2110 05,US A Comprehensive Survey,3,"Swanson, Drew",TR,11:00 AM,12:15 PM,T,
10482,HIST 5210 01,Visual History,3,"Van Wagenen, Michael",TR,9:30 AM,10:45 AM,T,
10479,HIST 3332 01,Late Antiquity,3,"Teeter, Timothy",TR,2:00 PM,3:15 PM,T,
10018,HIST 1112 02,Wrld Hist II-Emerg Mod Glb Com,3,"Burson, Jeffrey",TR,12:30 PM,1:45 PM,T,
10486,HIST 3030 AA,European Union,3,"Arens, Olavi",TR,11:00 AM,12:15 PM,T,
12575,HIST 2110 09,US A Comprehensive Survey,3,"Haberland, Michelle",MW,12:20 PM,1:35 PM,T,
10019,HIST 2110 01,US A Comprehensive Survey,3,"Curtis, Christophe",MW,10:10 AM,11:35 AM,T,
10052,HIST 4635 01,Senior Seminar,3,"Curtis, Christophe",MW,2:30 PM,3:45 PM,T,
10027,HIST 2110 03,US A Comprehensive Survey,3,"O'Neill, Johnathan",MW,2:30 PM,3:45 PM,T,
14063,HIST 5030G 02,Podcasting History,3,"Allison, William",MW,12:20 PM,1:35 PM,T,
13537,HLTH 3431 A,Methods & Material Sch Hlth Ed,3,"Penix, Kellie",F,9:05 AM,9:55 AM,T,
13537,HLTH 3431 A,Methods & Material Sch Hlth Ed,3,"Penix, Kellie",MW,9:05 AM,9:55 AM,T,
12914,HONS 4090 H00,Honors Capstone,3,"Desiderio, Francis",M,4:00 PM,5:15 PM,T,
12137,HONS 2001 H05,Honors Colloquium,0,"Engel, StevenSchmutz, Amy",W,4:00 PM,4:50 PM,T,
12124,HONS 1131 H02,Honors Inquiry Social Sciences,3,"Schmutz, Amy",MW,10:10 AM,11:25 AM,T,
12125,HONS 1132 H03,Honors Inquiry Humanities,3,"Caplinger, Christophe",TR,9:30 AM,10:45 AM,T,
10867,HSPM 9431 A,Health Policy Analysis,3,"Opoku, Samuel",TR,12:30 PM,1:45 PM,T,
10714,HSPM 7235 01H,Healthcare Law and Ethics,3,"Mase, William",TR,2:00 PM,3:15 PM,T,
11846,HSPM 7334 01H,Healthcare Human Resources,3,"Mercer, Katie",S,,,T,
10868,HSPM 9433 A,Rural Underserved Pops Sys Pol,3,"Tung, Ho",R,5:30 PM,8:15 PM,T,
11848,HSPM 7335 01H,Healthcare Ops Management,3,"Poku, Benjamin",F,,,T,
12348,INDS 4435 B,Design Studio IV,3,"Bartels, Erica",TR,9:30 AM,10:20 AM,T,
12348,INDS 4435 B,Design Studio IV,3,"Bartels, Erica",TR,9:30 AM,10:20 AM,T,
12361,INDS 3436 B,Design Studio III,3,"Smith, Thomas",MW,9:05 AM,9:55 AM,T,
12361,INDS 3436 B,Design Studio III,3,"Smith, Thomas",MW,9:05 AM,9:55 AM,T,
12354,INDS 2435 B,Design Studio I,3,"Goel, Swati",MW,9:05 AM,9:55 AM,T,
12354,INDS 2435 B,Design Studio I,3,"Goel, Swati",MW,9:05 AM,9:55 AM,T,
12349,INDS 2234 A,Textiles for Interiors,3,"Staff, Unknown",TR,12:30 PM,1:45 PM,T,
12347,INDS 4435 A,Design Studio IV,3,"Bartels, Erica",TR,12:30 PM,2:10 PM,T,
12347,INDS 4435 A,Design Studio IV,3,"Bartels, Erica",TR,12:30 PM,2:10 PM,T,
12360,INDS 3436 A,Design Studio III,3,"Smith, Thomas",MW,9:05 AM,9:55 AM,T,
12360,INDS 3436 A,Design Studio III,3,"Smith, Thomas",MW,9:05 AM,9:55 AM,T,
12357,INDS 3434 B,Color and Light,3,"McGee, Beth",TR,3:30 PM,4:45 PM,T,
12351,INDS 2327 A,Computer-Aided Design I,3,"Alshawaf, Toulin",MW,11:00 AM,1:05 PM,T,
13565,INDS 4446 B,Design Studio V: Capstone I,3,"Alshawaf, Toulin",W,8:00 AM,10:05 AM,T,
12353,INDS 2435 A,Design Studio I,3,"Goel, Swati",MW,9:05 AM,9:55 AM,T,
